lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
5.811541,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
4.465651,,,,,,
9.782381,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9637952559300874
6.493001,,,,,,
8.737161,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
7.984251,,,,,,
4.695731,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9725343320848939
2.402971,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
2.314431,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
7.504631,,,,,,
1.314801,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
1.210221,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
8.467081,,,,,,
4.633521,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
8.218361,,,,,,
3.492891,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9750312109862672
4.391791,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
4.121641,,,,,,
9.288951,,,,,,
0.784231,,,,,,
9.188251,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
4.387171,,,,,,
3.711641,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9750312109862672
9.923951,,,,,,
8.611971,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
2.727071,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9812734082397003
4.100621,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
1.930891,,,,,,
5.932341,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
1.655501,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9912609238451935
0.755981,l1,0.8727272727272727,0.8727272727272727,0.8722066548153505,0.8720987236655185,0.9962546816479401
8.151421,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
9.488821,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
5.875661,,,,,,
4.524281,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
6.211341,,,,,,
0.776381,l2,0.8757575757575757,0.8757575757575756,0.8753198293707166,0.8750245883707769,0.9962546816479401
4.703391,,,,,,
7.428471,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
0.693581,l1,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9962546816479401
8.201791,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
2.608711,,,,,,
8.856481,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
8.811701,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
5.847791,,,,,,
1.970691,,,,,,
9.890431,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9637952559300874
9.563221,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
2.377011,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
7.611441,,,,,,
1.512901,,,,,,
0.434021,,,,,,
6.346451,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
1.416471,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
0.112991,,,,,,
7.324701,,,,,,
8.713481,,,,,,
7.591091,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
4.368561,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
5.045391,,,,,,
1.348971,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
6.379781,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
9.719081,,,,,,
3.881471,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
5.518261,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
0.658131,,,,,,
