lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
8.811701,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
5.847791,,,,,,
1.970691,,,,,,
9.890431,l1,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
9.563221,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
2.377011,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
7.611441,,,,,,
1.512901,,,,,,
0.434021,,,,,,
6.346451,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9375780274656679
1.416471,l1,0.9090909090909091,0.9090909090909091,0.9090454079478985,0.9085773097040702,0.9413233458177278
0.112991,,,,,,
7.324701,,,,,,
8.713481,,,,,,
7.591091,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
4.368561,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
5.045391,,,,,,
1.348971,l1,0.9090909090909091,0.9090909090909091,0.9090454079478985,0.9085773097040702,0.9413233458177278
6.379781,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
9.719081,,,,,,
3.881471,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
5.518261,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.658131,,,,,,
3.433361,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9400749063670412
2.902001,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
1.429471,l2,0.9090909090909091,0.9090909090909091,0.9090454079478985,0.9085773097040702,0.9413233458177278
2.935961,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
9.776931,,,,,,
2.488311,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
6.588201,,,,,,
7.013311,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
5.038081,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
1.739201,l1,0.9121212121212121,0.9121212121212121,0.9122959528639042,0.9115498032679531,0.9400749063670412
6.070731,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.923661,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9425717852684145
4.695851,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
