lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
4.465651,,410,25.2,,,,,
9.782381,l2,85,36.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
6.493001,,135,39.2,,,,,
8.737161,l2,60,17.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3358302122347066
7.984251,,85,20.2,,,,,
4.695731,l1,435,33.2,0.26666666666666666,0.26666666666666666,0.30368303571428573,0.21586704133442555,0.2634207240948814
2.402971,l2,135,35.2,0.2545454545454545,0.2545454545454546,0.16970320305612696,0.20363905638421667,0.2596754057428215
2.314431,l2,485,31.2,0.24848484848484848,0.2484848484848485,0.16563786008230452,0.19875864014670616,0.26092384519350814
7.504631,,260,25.2,,,,,
1.314801,l1,460,37.2,0.24848484848484848,0.2484848484848485,0.16563192633138632,0.1987631301710724,0.2596754057428215
1.210221,l1,310,28.2,0.24848484848484848,0.2484848484848485,0.16563192633138632,0.1987631301710724,0.25842696629213485
8.467081,,235,37.2,,,,,
4.633521,l2,185,17.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.218361,,60,26.2,,,,,
3.492891,l1,135,36.2,0.23333333333333334,0.2333333333333333,0.2623508800085594,0.18930909320455766,0.25593008739076156
4.391791,l1,35,1.2,0.8515151515151516,0.8515151515151516,0.8502337500345784,0.8503037482020476,0.8564294631710362
4.121641,,310,13.2,,,,,
9.288951,,260,22.2,,,,,
0.784231,,360,6.2,,,,,
9.188251,l1,185,1.2,0.8515151515151516,0.8515151515151516,0.8507006509985656,0.8509259259259259,0.8539325842696629
4.387171,,260,20.2,,,,,
3.711641,l2,135,21.2,0.39090909090909093,0.39090909090909093,0.4512325830653805,0.2723796546919786,0.41198501872659177
9.923951,,110,18.2,,,,,
8.611971,l1,310,19.2,0.503030303030303,0.503030303030303,0.5229374110953059,0.4748544552609742,0.5156054931335831
2.727071,l1,385,30.2,0.23030303030303031,0.23030303030303031,0.24492672933753043,0.18571898899230624,0.24968789013732834
4.100621,l1,410,6.2,0.6363636363636364,0.6363636363636364,0.6952787699953409,0.5283827287236745,0.6192259675405742
1.930891,,260,26.2,,,,,
5.932341,l2,285,3.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
1.655501,l1,385,33.2,0.23333333333333334,0.2333333333333333,0.15505335844318893,0.18606890034136625,0.2397003745318352
0.755981,l1,135,20.2,0.5484848484848485,0.5484848484848485,0.5780775534851622,0.5466252914333474,0.5243445692883895
8.151421,l1,235,30.2,0.3151515151515151,0.3151515151515151,0.4558974358974359,0.20797905811875453,0.3233458177278402
9.488821,l2,85,11.2,0.5060606060606061,0.506060606060606,0.45200804436589676,0.4178534874271578,0.5131086142322098
5.875661,,60,0.2,,,,,
4.524281,l1,285,38.2,0.26666666666666666,0.26666666666666666,0.30368303571428573,0.21586704133442555,0.264669163545568
6.211341,,285,4.2,,,,,
0.776381,l2,85,30.2,0.32727272727272727,0.32727272727272727,0.10975609756097561,0.1643835616438356,0.3295880149812734
4.703391,,260,32.2,,,,,
7.428471,l1,310,17.2,0.6424242424242425,0.6424242424242425,0.6327851014856665,0.6092707258341933,0.6254681647940075
0.693581,l1,210,16.2,0.5363636363636364,0.5363636363636364,0.5923885415078033,0.5482974751870516,0.5093632958801498
8.201791,l1,210,25.2,0.5606060606060606,0.5606060606060607,0.6417081417081417,0.5472604589060096,0.5605493133583022
2.608711,,85,1.2,,,,,
8.856481,l1,85,31.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.811701,l2,235,36.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
5.847791,,310,29.2,,,,,
1.970691,,235,9.2,,,,,
9.890431,l1,160,21.2,0.5424242424242425,0.5424242424242424,0.47388824898834775,0.49087292909728947,0.5455680399500624
9.563221,l2,185,5.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.377011,l2,60,15.2,0.2515151515151515,0.2515151515151515,0.16767691610643742,0.20120513261307482,0.26092384519350814
7.611441,,310,6.2,,,,,
1.512901,,185,18.2,,,,,
0.434021,,435,14.2,,,,,
6.346451,l1,60,1.2,0.8636363636363636,0.8636363636363636,0.8634811166339406,0.8634740704881162,0.8639200998751561
1.416471,l1,285,38.2,0.2515151515151515,0.2515151515151515,0.1676219870664315,0.20115672168147836,0.2634207240948814
0.112991,,410,21.2,,,,,
7.324701,,85,33.2,,,,,
8.713481,,285,30.2,,,,,
7.591091,l1,160,8.2,0.6181818181818182,0.6181818181818182,0.4225589225589226,0.4970484061393152,0.6142322097378277
4.368561,l2,285,28.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
5.045391,,210,38.2,,,,,
1.348971,l1,35,7.2,0.6393939393939394,0.6393939393939393,0.6229263166109817,0.6265108935173046,0.6416978776529338
6.379781,l2,410,5.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.719081,,360,31.2,,,,,
3.881471,l1,460,31.2,0.2636363636363636,0.2636363636363636,0.3010684055042782,0.21395213619554854,0.2546816479400749
5.518261,l1,110,21.2,0.603030303030303,0.603030303030303,0.6088031666792729,0.6051372744168225,0.5892634207240949
0.658131,,210,38.2,,,,,
