lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
0.5,l1,50,1.0,0.8636363636363636,0.8636363636363636,0.863540068008787,0.8633918550585217,0.8789013732833958
0.5,l1,75,0.01,0.8909090909090909,0.890909090909091,0.8925913955325719,0.8882134482955139,0.9063670411985019
0.5,l1,75,0.1,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9088639200998752
0.5,l1,75,0.25,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9113607990012484
0.5,l1,75,0.5,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.8938826466916354
0.5,l1,75,1.0,0.8636363636363636,0.8636363636363636,0.863540068008787,0.8633918550585217,0.8789013732833958
0.5,l1,100,0.01,0.9,0.9,0.9010097367472052,0.8980048159614723,0.9088639200998752
0.5,l1,100,0.1,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9088639200998752
0.5,l1,100,0.25,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9113607990012484
0.5,l1,100,0.5,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.8938826466916354
0.5,l1,100,1.0,0.8636363636363636,0.8636363636363636,0.863540068008787,0.8633918550585217,0.8789013732833958
0.5,l1,150,0.01,0.906060606060606,0.9060606060606061,0.9061693642974431,0.9047254368050828,0.9138576779026217
0.5,l1,150,0.1,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9088639200998752
0.5,l1,150,0.25,0.9030303030303031,0.903030303030303,0.902885595546146,0.9024325484981613,0.9113607990012484
0.5,l1,150,0.5,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.8938826466916354
0.5,l1,150,1.0,0.8636363636363636,0.8636363636363636,0.863540068008787,0.8633918550585217,0.8789013732833958
0.5,l2,25,0.01,0.9030303030303031,0.903030303030303,0.9039060633327741,0.9012494065892084,0.9126092384519351
0.5,l2,25,0.1,0.896969696969697,0.896969696969697,0.8963987703118139,0.8963792968444132,0.9188514357053683
0.5,l2,25,0.25,0.9030303030303031,0.903030303030303,0.90262737654042,0.9024448172111722,0.9126092384519351
0.5,l2,25,0.5,0.906060606060606,0.9060606060606061,0.9056205225453012,0.9056036743803976,0.9076154806491885
0.5,l2,25,1.0,0.8757575757575757,0.8757575757575758,0.8753885635798452,0.875242187601799,0.8901373283395755
0.5,l2,50,0.01,0.9121212121212121,0.9121212121212121,0.9124645770608503,0.9108795511879212,0.9138576779026217
0.5,l2,50,0.1,0.9030303030303031,0.903030303030303,0.90260367651672,0.9025103750685145,0.9101123595505618
0.5,l2,50,0.25,0.9030303030303031,0.903030303030303,0.90262737654042,0.9024448172111722,0.9126092384519351
0.5,l2,50,0.5,0.906060606060606,0.9060606060606061,0.9056205225453012,0.9056036743803976,0.9076154806491885
0.5,l2,50,1.0,0.8848484848484849,0.8848484848484848,0.8853373326574195,0.8849282664019321,0.8838951310861424
0.5,l2,75,0.01,0.906060606060606,0.9060606060606061,0.9057971014492754,0.9049735449735449,0.9188514357053683
0.5,l2,75,0.1,0.9030303030303031,0.903030303030303,0.90260367651672,0.9025103750685145,0.9101123595505618
0.5,l2,75,0.25,0.9030303030303031,0.903030303030303,0.90262737654042,0.9024448172111722,0.9126092384519351
0.5,l2,75,0.5,0.906060606060606,0.9060606060606061,0.9056205225453012,0.9056036743803976,0.9076154806491885
0.5,l2,75,1.0,0.8848484848484849,0.8848484848484848,0.8853373326574195,0.8849282664019321,0.8838951310861424
0.5,l2,100,0.01,0.906060606060606,0.9060606060606061,0.9056195570443132,0.9052234788303829,0.9250936329588015
0.5,l2,100,0.1,0.9030303030303031,0.903030303030303,0.90260367651672,0.9025103750685145,0.9101123595505618
0.5,l2,100,0.25,0.9030303030303031,0.903030303030303,0.90262737654042,0.9024448172111722,0.9126092384519351
0.5,l2,100,0.5,0.906060606060606,0.9060606060606061,0.9056205225453012,0.9056036743803976,0.9076154806491885
0.5,l2,100,1.0,0.8848484848484849,0.8848484848484848,0.8853373326574195,0.8849282664019321,0.8838951310861424
0.5,l2,150,0.01,0.9090909090909091,0.9090909090909091,0.9087077127178436,0.9084103822131991,0.9238451935081149
0.5,l2,150,0.1,0.9030303030303031,0.903030303030303,0.90260367651672,0.9025103750685145,0.9101123595505618
0.5,l2,150,0.25,0.9030303030303031,0.903030303030303,0.90262737654042,0.9024448172111722,0.9126092384519351
0.5,l2,150,0.5,0.906060606060606,0.9060606060606061,0.9056205225453012,0.9056036743803976,0.9076154806491885
0.5,l2,150,1.0,0.8848484848484849,0.8848484848484848,0.8853373326574195,0.8849282664019321,0.8838951310861424
0.5,,25,0.01,,,,,
0.5,,25,0.1,,,,,
0.5,,25,0.25,,,,,
0.5,,25,0.5,,,,,
0.5,,25,1.0,,,,,
0.5,,50,0.01,,,,,
0.5,,50,0.1,,,,,
0.5,,50,0.25,,,,,
0.5,,50,0.5,,,,,
0.5,,50,1.0,,,,,
0.5,,75,0.01,,,,,
0.5,,75,0.1,,,,,
0.5,,75,0.25,,,,,
0.5,,75,0.5,,,,,
0.5,,75,1.0,,,,,
0.5,,100,0.01,,,,,
0.5,,100,0.1,,,,,
0.5,,100,0.25,,,,,
0.5,,100,0.5,,,,,
0.5,,100,1.0,,,,,
0.5,,150,0.01,,,,,
0.5,,150,0.1,,,,,
0.5,,150,0.25,,,,,
0.5,,150,0.5,,,,,
