,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,gini,15,7,log2,723,0.836454432,0.8121212121212121,0.8151505066473034,0.812121212,0.8126884649805239
0,gini,15,7,log2,723,0.836454432,0.8121212121212121,0.8151505066473034,0.812121212,0.8126884649805239
0,entropy,12,8,log2,597,0.81897628,0.8121212121212121,0.8142574559653767,0.8121212121212121,0.8123882071519711
0,gini,13,6,0.33,777,0.8589263420724095,0.8121212121212121,0.810193587,0.8121212121212121,0.8086741725065059
0,entropy,12,4,sqrt,575,0.8426966292134831,0.8121212121212121,0.817970522,0.8121212121212121,0.8136089266524049
0,gini,6,13,0.33,680,0.8214731585518102,0.8121212121212121,0.8173511417966369,0.8121212121212121,0.8074955200834415
0,gini,15,7,0.33,799,0.8439450686641697,0.8121212121212121,0.8172235315092458,0.8121212121212121,0.8131688572865045
0,entropy,8,12,0.33,527,0.8177278401997503,0.8121212121212121,0.8104895615419666,0.8121212121212121,0.810625392
0,gini,9,6,0.33,463,0.832709114,0.8121212121212121,0.8111455108359132,0.8121212121212121,0.8110961365678347
0,gini,9,6,0.33,463,0.832709114,0.8121212121212121,0.8111455108359132,0.8121212121212121,0.8110961365678347
0,entropy,14,5,log2,726,0.8526841448189763,0.8121212121212121,0.8114235437764848,0.8121212121212121,0.8086185111402674
0,entropy,14,5,log2,726,0.8526841448189763,0.8121212121212121,0.8114235437764848,0.8121212121212121,0.8086185111402674
0,entropy,12,6,sqrt,771,0.8626716604244694,0.8121212121212121,0.8105474605744437,0.8121212121212121,0.8105417864464411
0,entropy,15,10,sqrt,761,0.8451935081148564,0.8121212121212121,0.814045836,0.8121212121212121,0.8127628068116731
0,gini,10,10,0.33,696,0.8164794007490637,0.8121212121212121,0.8152219786101761,0.8121212121212121,0.8100944081336238
0,gini,7,4,0.33,739,0.8489388264669163,0.8121212121212121,0.8094298245614034,0.8121212121212121,0.8090215381213692
0,gini,9,9,0.33,528,0.846441948,0.8121212121212121,0.8111938955151512,0.8121212121212121,0.8115166550056201
0,entropy,8,9,0.33,752,0.850187266,0.8121212121212121,0.8180894262523467,0.8121212121212121,0.8133447730634432
0,entropy,8,9,0.33,752,0.850187266,0.8121212121212121,0.8180894262523467,0.8121212121212121,0.8133447730634432
0,entropy,10,14,log2,749,0.8114856429463171,0.8121212121212121,0.8187137834453221,0.8121212121212121,0.8139524298500506
0,entropy,10,14,log2,749,0.8114856429463171,0.8121212121212121,0.8187137834453221,0.8121212121212121,0.8139524298500506
0,gini,7,8,sqrt,655,0.8314606741573034,0.8090909090909091,0.8086663578215036,0.8090909090909091,0.8070486682872003
