alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.0001,tanh,32,"(50,)",0.9151515151515152,0.915151515151515,0.9153657992546421,0.9151430612880057,1.0
0.0001,tanh,32,"(50, 50)",0.9030303030303031,0.903030303030303,0.9032132988522926,0.9024256086869692,1.0
0.0001,tanh,32,"(100,)",0.9181818181818182,0.9181818181818181,0.9187793391816835,0.9178792191782281,1.0
0.0001,tanh,32,"(100, 100)",0.906060606060606,0.9060606060606061,0.9061996032374616,0.9055332755494638,1.0
0.0001,tanh,48,"(25,)",0.9121212121212121,0.9121212121212121,0.9120406359536793,0.9116919380580732,1.0
0.0001,tanh,48,"(25, 25)",0.9,0.9,0.9002701177229478,0.8992184247094176,1.0
0.0001,tanh,48,"(50,)",0.9090909090909091,0.9090909090909091,0.9098186837317271,0.909134758437084,1.0
0.0001,tanh,48,"(50, 50)",0.9030303030303031,0.903030303030303,0.9032627865961199,0.902673781042763,1.0
0.0001,tanh,48,"(100,)",0.9181818181818182,0.9181818181818183,0.9186697854481314,0.917966172253037,1.0
0.0001,tanh,48,"(100, 100)",0.9030303030303031,0.903030303030303,0.9031683494381392,0.9027518425301976,1.0
0.0001,tanh,64,"(25,)",0.9121212121212121,0.9121212121212121,0.9121180192316859,0.9118603077963808,1.0
0.0001,tanh,64,"(25, 25)",0.9,0.9,0.9002701177229478,0.8992184247094176,1.0
0.0001,tanh,64,"(50,)",0.9121212121212121,0.9121212121212121,0.9126373199067768,0.912113986132251,1.0
0.0001,tanh,64,"(50, 50)",0.9030303030303031,0.903030303030303,0.9032627865961199,0.902673781042763,1.0
0.0001,tanh,64,"(100,)",0.9181818181818182,0.9181818181818181,0.9187793391816835,0.9178792191782281,1.0
0.0001,tanh,64,"(100, 100)",0.9,0.9,0.9001856800305047,0.8996398853227047,1.0
0.001,relu,16,"(25,)",0.9030303030303031,0.903030303030303,0.9046323173681664,0.9029113428747725,1.0
0.001,relu,16,"(25, 25)",0.896969696969697,0.896969696969697,0.8970017636684303,0.8965149018734294,1.0
0.001,relu,16,"(50,)",0.9212121212121213,0.9212121212121213,0.9212309429700735,0.9209067418369744,1.0
0.001,relu,16,"(50, 50)",0.9090909090909091,0.9090909090909091,0.9095238095238095,0.9088326602120967,1.0
0.001,relu,16,"(100,)",0.9121212121212121,0.9121212121212121,0.9123160382425609,0.9118850509087449,1.0
0.001,relu,16,"(100, 100)",0.8939393939393939,0.8939393939393939,0.893865239698573,0.8938519837602406,1.0
0.001,relu,32,"(25,)",0.9,0.9,0.9011449655347401,0.8998023565627532,1.0
0.001,relu,32,"(25, 25)",0.9121212121212121,0.9121212121212121,0.9119911379112438,0.9119440567147786,1.0
0.001,relu,32,"(50,)",0.9181818181818182,0.9181818181818181,0.9179952454033883,0.9178872053872054,1.0
0.001,relu,32,"(50, 50)",0.9090909090909091,0.9090909090909092,0.9095076487825203,0.9085996391712446,1.0
0.001,relu,32,"(100,)",0.9090909090909091,0.9090909090909091,0.9093411889443118,0.908868050481268,1.0
