alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000145,relu,10,"(425, 420, 320, 400, 50)",0.8484848484848485,0.8484848484848485,0.8474018606761969,0.8476314208680833,1.0
0.000309,tanh,44,"(390, 305, 485, 485)",0.8757575757575757,0.8757575757575758,0.8778743494822684,0.8739870117530987,1.0
0.000445,tanh,28,"(420, 385)",0.8606060606060606,0.8606060606060607,0.8598184223184223,0.8589933198069258,1.0
7.7e-05,relu,22,"(365, 165, 365)",0.8757575757575757,0.8757575757575756,0.8749432236479674,0.874589797596597,1.0
0.000557,tanh,48,"(275, 275, 190)",0.8666666666666667,0.8666666666666667,0.8685587761674718,0.8641180196810336,1.0
0.000179,tanh,20,"(500, 265, 335, 385, 305)",0.8545454545454545,0.8545454545454545,0.8533172480540901,0.8528284693511914,1.0
0.000657,tanh,46,"(310, 405, 50)",0.8515151515151516,0.8515151515151516,0.8534690086414224,0.8477376636218694,1.0
0.000171,tanh,44,"(315, 445, 255, 15)",0.8454545454545455,0.8454545454545453,0.8492323822709963,0.8432305313237253,1.0
0.000277,relu,62,"(430, 300, 245, 90)",0.8878787878787879,0.8878787878787878,0.8889544883016082,0.8856197236553714,1.0
0.000833,relu,66,"(185,)",0.8666666666666667,0.8666666666666667,0.8666162651463386,0.8654732360184331,1.0
0.000461,tanh,30,"(270, 445, 35, 235)",0.8484848484848485,0.8484848484848485,0.850973618416275,0.8448842858969442,1.0
0.000989,relu,34,"(390, 340)",0.8606060606060606,0.8606060606060607,0.8606969400903388,0.8592996915365335,1.0
0.000489,tanh,62,"(35, 425, 170, 310)",0.8636363636363636,0.8636363636363636,0.8641167566174813,0.8610039324298611,1.0
0.000583,tanh,70,"(265, 220)",0.8666666666666667,0.8666666666666667,0.8664038819408892,0.8645736643472723,1.0
0.000587,tanh,20,"(240, 440)",0.8454545454545455,0.8454545454545453,0.845680290419203,0.8427609463202183,1.0
0.000765,relu,68,"(125, 450)",0.8636363636363636,0.8636363636363636,0.8637614337770506,0.8622947831732369,1.0
0.000855,tanh,20,"(165, 455, 35, 25, 435)",0.8424242424242424,0.8424242424242424,0.8415742670976968,0.841274713370046,1.0
0.000519,relu,68,"(145, 60)",0.8696969696969697,0.8696969696969697,0.869928230392604,0.8681267736834123,1.0
0.000823,relu,58,"(230, 425, 460)",0.8636363636363636,0.8636363636363636,0.8636490610042501,0.8616876614612693,1.0
4.5e-05,relu,20,"(455, 25, 70, 65)",0.8818181818181818,0.8818181818181818,0.882020592020592,0.8808260153238319,1.0
0.000825,tanh,20,"(415, 105, 80, 230)",0.8606060606060606,0.8606060606060607,0.8594448186649027,0.8586851744746481,1.0
0.000197,relu,66,"(340, 110, 370, 365)",0.8696969696969697,0.8696969696969696,0.8697733918128655,0.8678320167239543,1.0
6.5e-05,tanh,48,"(490, 50, 465, 185, 215)",0.8515151515151516,0.8515151515151516,0.8526054750402575,0.8481245074862097,1.0
0.000625,relu,24,"(185, 85, 240)",0.8606060606060606,0.8606060606060607,0.8610465290370648,0.8589957786315489,1.0
0.000855,tanh,40,"(165, 105, 480)",0.8696969696969697,0.8696969696969696,0.8697865318062131,0.8679893897285201,1.0
0.000105,tanh,14,"(160, 60)",0.8515151515151516,0.8515151515151516,0.8519544399777756,0.8490685255391138,1.0
0.000373,tanh,12,"(60, 230)",0.8636363636363636,0.8636363636363636,0.8642703118690043,0.8619962767564933,1.0
0.000699,relu,40,"(190, 340, 305)",0.8818181818181818,0.8818181818181818,0.881383012975305,0.8809709692995717,1.0
0.000725,relu,44,"(90, 495, 420, 185)",0.8909090909090909,0.890909090909091,0.8909665627829719,0.8897280570634359,1.0
0.000279,relu,54,"(305, 210)",0.8636363636363636,0.8636363636363636,0.8633681938029764,0.8621757847308508,1.0
0.000227,relu,22,"(475, 200, 155, 220, 175)",0.8575757575757575,0.8575757575757575,0.8581182985742902,0.8546920557577932,1.0
0.000445,tanh,58,"(10, 10)",0.8666666666666667,0.8666666666666667,0.8700616360978204,0.8632915287327051,1.0
0.000237,relu,20,"(70, 80)",0.8636363636363636,0.8636363636363636,0.8640716374269006,0.8619572755231261,1.0
2.3e-05,tanh,14,"(25, 420, 405, 80)",0.8575757575757575,0.8575757575757575,0.8617990483924705,0.8542758874559412,1.0
7.9e-05,tanh,52,"(285, 90, 55, 320)",0.8454545454545455,0.8454545454545456,0.8451414258235986,0.8428535207186322,1.0
0.000705,relu,30,"(435, 420, 170, 465)",0.8727272727272727,0.8727272727272727,0.8728831352360764,0.8717236127459606,1.0
0.000819,relu,54,"(220, 470, 10, 170)",0.8696969696969697,0.8696969696969697,0.8700142450142451,0.868026745363044,1.0
0.000959,relu,28,"(420, 210)",0.8575757575757575,0.8575757575757575,0.8570365327887451,0.8563692275274426,1.0
0.000459,tanh,48,"(80, 285, 480)",0.8606060606060606,0.8606060606060607,0.8609623652627504,0.8584216583379151,1.0
0.000139,tanh,66,"(230, 60)",0.8545454545454545,0.8545454545454545,0.8559598997493735,0.8516395983607796,1.0
1.5e-05,tanh,66,"(285, 65, 335, 205)",0.8787878787878788,0.8787878787878788,0.8798157914011573,0.8771049221067972,1.0
0.000841,relu,12,"(215,)",0.8606060606060606,0.8606060606060607,0.8599535916061339,0.8592856013908645,1.0
0.000341,tanh,48,"(440, 150, 195)",0.8575757575757575,0.8575757575757575,0.8586199708150928,0.854266195256912,1.0
0.000467,tanh,22,"(265, 50)",0.8545454545454545,0.8545454545454545,0.8557493599590374,0.8521067131485327,1.0
0.000749,relu,38,"(365, 380, 110, 295)",0.8696969696969697,0.8696969696969696,0.8693479193479193,0.8684436264708548,1.0
0.000235,relu,52,"(420, 135, 180, 470, 100)",0.8696969696969697,0.8696969696969697,0.870257506621143,0.8684093684093684,1.0
4.9e-05,relu,58,"(235, 65, 25)",0.8727272727272727,0.8727272727272727,0.8725771324863884,0.8717182890855457,1.0
0.000751,tanh,52,"(280, 85)",0.8636363636363636,0.8636363636363636,0.8633739152131842,0.861765774809253,1.0
0.000687,tanh,30,"(335, 400)",0.8575757575757575,0.8575757575757575,0.8583544614045312,0.8558818588598219,1.0
0.000217,tanh,52,"(55, 15, 430, 310, 145)",0.8454545454545455,0.8454545454545453,0.8452759435884895,0.8430102578417541,1.0
0.000259,relu,52,"(460,)",0.8666666666666667,0.8666666666666667,0.8667241514661157,0.8651122976523434,1.0
0.000575,tanh,56,"(310, 10, 85, 120, 100)",0.8575757575757575,0.8575757575757575,0.8587589465638246,0.8543418224902788,1.0
0.000169,relu,54,"(250, 380, 455, 425, 95)",0.8878787878787879,0.8878787878787878,0.8874212558423085,0.8873977140051011,1.0
0.000683,relu,14,"(120, 325, 375)",0.8787878787878788,0.8787878787878788,0.8783327781320013,0.8781091506688362,1.0
0.000693,tanh,42,"(405, 495)",0.8545454545454545,0.8545454545454545,0.8542064776835162,0.8526561570039831,1.0
0.000903,tanh,16,"(85, 235, 100, 235, 415)",0.8484848484848485,0.8484848484848485,0.8477725290844104,0.8473526243532716,1.0
0.000905,relu,18,"(200,)",0.8606060606060606,0.8606060606060607,0.8602113411736377,0.8590113264976681,1.0
0.000253,relu,50,"(320, 95, 20, 440)",0.8787878787878788,0.8787878787878788,0.8793305477336725,0.8779918335753026,1.0
0.000631,tanh,34,"(15,)",0.8636363636363636,0.8636363636363636,0.8638112901948461,0.8609250136836343,1.0
0.000587,tanh,12,"(370, 230, 60)",0.8393939393939394,0.8393939393939395,0.8396802760207015,0.8368013435597916,1.0
0.000815,tanh,70,"(300, 180, 200, 125, 495)",0.8575757575757575,0.8575757575757575,0.8588778782205692,0.854647169281909,1.0
0.000101,relu,62,"(335,)",0.8636363636363636,0.8636363636363636,0.8634581703906016,0.8619380504348229,1.0
0.000501,tanh,36,"(80, 495, 115, 120, 460)",0.8575757575757575,0.8575757575757575,0.8588670028864148,0.8552672693696352,1.0
0.000291,relu,70,"(20,)",0.8666666666666667,0.8666666666666667,0.8666623533471359,0.8648109049397895,1.0
0.000505,tanh,32,"(395, 480, 415, 405)",0.8424242424242424,0.8424242424242424,0.8426966916875175,0.8413133289845618,1.0
0.000307,tanh,30,"(420,)",0.8636363636363636,0.8636363636363636,0.8633487825177335,0.861218871041347,1.0
6.7e-05,relu,58,"(155,)",0.8636363636363636,0.8636363636363636,0.8638612328989567,0.8618996967884067,1.0
0.000295,relu,66,"(120,)",0.8636363636363636,0.8636363636363636,0.8638062547673532,0.8615780998389694,1.0
0.000973,relu,60,"(185, 355, 160, 360)",0.8727272727272727,0.8727272727272727,0.8721270459134537,0.8718537988935706,1.0
3.5e-05,relu,12,"(10, 180)",0.8666666666666667,0.8666666666666667,0.8660112925993143,0.8654217586739711,1.0
0.000863,tanh,44,"(470, 115)",0.8606060606060606,0.8606060606060607,0.860619094276545,0.8588797719232502,1.0
0.000195,tanh,32,"(345, 195)",0.8515151515151516,0.8515151515151516,0.8502828209105009,0.8492652527747088,1.0
0.000729,tanh,22,"(465, 145, 25)",0.8363636363636363,0.8363636363636363,0.8355367399485045,0.8347761062079609,1.0
4.5e-05,relu,56,"(185, 230)",0.8696969696969697,0.8696969696969697,0.8692753623188406,0.8685714285714287,1.0
