alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000137,tanh,56,"(120, 195, 220, 425)",0.9030303030303031,0.903030303030303,0.9033377250768555,0.902865867982147,1.0
0.000801,tanh,32,"(395, 300, 335)",0.9272727272727272,0.9272727272727272,0.9284900198998974,0.9273634197577859,1.0
0.000911,relu,28,"(285, 235, 250, 380)",0.9090909090909091,0.9090909090909091,0.9095878338681249,0.9089487003827572,1.0
0.000907,tanh,64,"(145, 175, 380, 65)",0.9090909090909091,0.9090909090909092,0.9102214960058097,0.9086407116677077,1.0
0.000977,relu,50,"(430, 470, 55, 100)",0.9151515151515152,0.915151515151515,0.9155025810044095,0.9150901850990635,1.0
0.000947,relu,30,"(395, 35)",0.8939393939393939,0.8939393939393939,0.8942751490794331,0.8938457635717909,1.0
0.000465,relu,38,"(90,)",0.9090909090909091,0.9090909090909091,0.9099550184929561,0.9089304907680554,1.0
7.9e-05,tanh,66,"(270, 485, 500, 180)",0.9303030303030303,0.9303030303030303,0.9305218256504336,0.9302957036213221,1.0
0.000397,relu,10,"(285, 400, 435)",0.9030303030303031,0.903030303030303,0.9042647162212379,0.9032599546728189,1.0
0.000455,tanh,48,"(375, 295, 375, 445, 85)",0.9212121212121213,0.9212121212121213,0.9220765376825498,0.9210526315789473,1.0
0.000867,relu,66,"(480, 250, 165)",0.9121212121212121,0.9121212121212121,0.9127624370427281,0.9120494755765556,1.0
0.000759,tanh,40,"(10, 255)",0.8606060606060606,0.8606060606060607,0.8603174603174604,0.8595888102460397,1.0
0.000549,tanh,12,"(85, 210, 130, 45)",0.8909090909090909,0.890909090909091,0.8905524011406364,0.8896122686001956,1.0
0.000391,tanh,22,"(130, 435)",0.9,0.9,0.8996193292249051,0.8992120837226851,1.0
0.000473,relu,26,"(190,)",0.9090909090909091,0.9090909090909092,0.9091278261872872,0.9088753286326533,1.0
0.000927,relu,34,"(160, 80)",0.9030303030303031,0.903030303030303,0.9031218332189206,0.9024740173341029,1.0
0.000609,tanh,22,"(500, 310, 180, 445, 265)",0.9121212121212121,0.9121212121212121,0.912597995172912,0.9116141157236584,1.0
0.000643,tanh,64,"(330, 245, 80, 165)",0.9090909090909091,0.9090909090909092,0.9087352302869545,0.9084645980105414,1.0
0.000275,relu,22,"(415, 265, 285, 220, 200)",0.9121212121212121,0.9121212121212121,0.9123670037630532,0.9117032623715616,0.9975031210986267
0.000553,tanh,20,"(185, 245, 155)",0.9121212121212121,0.9121212121212121,0.9123160382425609,0.9118850509087449,1.0
0.000191,relu,28,"(370, 275)",0.896969696969697,0.896969696969697,0.896909005086797,0.8965642691636257,1.0
6.5e-05,tanh,64,"(150,)",0.9090909090909091,0.9090909090909092,0.9108167913860984,0.909075286113514,1.0
0.000367,relu,18,"(160, 395)",0.9090909090909091,0.9090909090909092,0.909321108139152,0.9088630388392236,1.0
0.000183,relu,42,"(400,)",0.9090909090909091,0.9090909090909092,0.909286392619726,0.9087114137989697,1.0
0.000629,tanh,70,"(475, 35, 125, 85, 225)",0.9090909090909091,0.9090909090909091,0.9094979213303486,0.9087069525666017,1.0
0.000841,tanh,64,"(40, 400)",0.9181818181818182,0.9181818181818181,0.9204922094284497,0.9184948473656801,1.0
0.000469,relu,46,"(420, 500, 500, 115)",0.9090909090909091,0.9090909090909092,0.908869395711501,0.9088302752293579,1.0
0.000939,tanh,18,"(215, 375, 345, 100, 20)",0.906060606060606,0.9060606060606061,0.9101041429300413,0.905479014768957,0.9413233458177278
0.000489,tanh,66,"(200, 305)",0.906060606060606,0.9060606060606059,0.9071070094842991,0.9058640878355125,1.0
0.000487,relu,68,"(200, 280)",0.9151515151515152,0.9151515151515152,0.9150165699563235,0.9148232707593437,1.0
0.000291,tanh,10,"(215, 235, 20)",0.9212121212121213,0.9212121212121213,0.9217567423515617,0.920890188434048,1.0
0.000265,relu,32,"(125, 420, 465)",0.906060606060606,0.9060606060606061,0.9064345618431912,0.9059834263487231,1.0
0.000335,relu,50,"(55, 120, 200)",0.9030303030303031,0.903030303030303,0.9035965960670597,0.9028616441339666,1.0
0.000175,tanh,12,"(145, 185, 135)",0.9242424242424242,0.9242424242424242,0.9249297043336896,0.924124788626707,1.0
0.000703,relu,46,"(445, 10, 415)",0.9151515151515152,0.9151515151515152,0.9154939476453249,0.9149792467902939,1.0
0.000325,relu,40,"(100,)",0.9121212121212121,0.9121212121212121,0.9121799410473881,0.9117662997597704,1.0
0.000865,tanh,26,"(185, 110, 150, 110, 75)",0.9212121212121213,0.9212121212121213,0.922155423567853,0.9210280624537135,1.0
0.000797,tanh,40,"(65, 335)",0.9030303030303031,0.903030303030303,0.9040080804786687,0.9027864542490974,1.0
0.000375,relu,44,"(120, 455, 310)",0.9,0.8999999999999999,0.8997248022015825,0.8992587601078167,1.0
0.000787,relu,20,"(235, 150, 120, 295)",0.9,0.9,0.9002970227424513,0.8997596451280759,1.0
0.000807,relu,64,"(105, 330, 30, 285)",0.896969696969697,0.896969696969697,0.8962687877510888,0.8963856546086184,1.0
0.000523,relu,16,"(465, 250, 395)",0.906060606060606,0.9060606060606061,0.906525860060885,0.9059465137514446,1.0
1e-06,tanh,64,"(135, 205, 75, 280, 315)",0.9,0.9,0.9002001413057963,0.8995085237474783,1.0
6.3e-05,relu,48,"(35, 100, 155)",0.8848484848484849,0.8848484848484849,0.8843218861401912,0.8843328259766615,1.0
0.000565,relu,24,"(340, 85)",0.906060606060606,0.9060606060606061,0.9059882479355666,0.9058644410776536,1.0
0.000479,relu,54,"(480, 50, 60, 300)",0.9,0.9,0.900476449065529,0.9000766673104668,1.0
0.000931,relu,28,"(345, 415, 210)",0.9121212121212121,0.9121212121212121,0.9119266147071509,0.9118245951579285,1.0
0.000339,tanh,60,"(210, 395, 130)",0.9090909090909091,0.9090909090909092,0.9091278261872872,0.9088753286326533,1.0
0.000169,tanh,60,"(265, 155, 450, 415)",0.9181818181818182,0.9181818181818181,0.9188483634135807,0.9181112317121113,1.0
0.000627,relu,70,"(380, 140)",0.9151515151515152,0.9151515151515152,0.9152380450229233,0.9148104397902118,1.0
0.000635,relu,24,"(210,)",0.9030303030303031,0.903030303030303,0.9032159480698946,0.9029605839979237,1.0
0.000563,relu,66,"(435, 285, 10)",0.9090909090909091,0.9090909090909092,0.9098154931488264,0.9089674411085493,1.0
0.000645,relu,62,"(420, 290, 425, 185)",0.9090909090909091,0.9090909090909092,0.909240346387239,0.9085296481651125,1.0
4.3e-05,tanh,58,"(155, 425, 140, 355)",0.9030303030303031,0.903030303030303,0.9048899071469618,0.9029934633514034,1.0
0.000361,tanh,14,"(80,)",0.9242424242424242,0.9242424242424243,0.9250692071537946,0.9240521909926103,1.0
0.000379,tanh,66,"(235, 430)",0.9242424242424242,0.9242424242424243,0.92462577143058,0.9240374606521877,1.0
0.000317,relu,14,"(485, 100)",0.906060606060606,0.9060606060606061,0.906644080557124,0.9060339832432857,1.0
0.000673,relu,30,"(320, 365, 60)",0.906060606060606,0.9060606060606059,0.9057895358866231,0.9053174294286164,1.0
4.1e-05,tanh,66,"(190, 295)",0.9212121212121213,0.9212121212121213,0.922155423567853,0.9210280624537135,1.0
0.000501,relu,58,"(245, 175)",0.9090909090909091,0.9090909090909092,0.9095608637135705,0.9088706983169587,1.0
0.000669,relu,56,"(455,)",0.9151515151515152,0.9151515151515152,0.9154736310076116,0.9147009588344824,1.0
0.000897,relu,22,"(195, 420, 325, 10, 115)",0.896969696969697,0.896969696969697,0.8972580042444882,0.896307284747618,1.0
6.9e-05,tanh,22,"(445, 195, 165, 420, 210)",0.9030303030303031,0.903030303030303,0.9028189434283558,0.9025819478648902,1.0
0.000705,relu,64,"(315, 330, 270)",0.9121212121212121,0.9121212121212121,0.9119232375811324,0.9116680097988509,1.0
0.000387,relu,34,"(475, 210, 410)",0.9030303030303031,0.903030303030303,0.9030253696920364,0.902552534629636,1.0
0.000705,relu,62,"(450, 450, 375, 245, 25)",0.9,0.8999999999999999,0.9008829962180992,0.8999649992631423,1.0
0.000299,tanh,46,"(20, 460, 220, 350)",0.8696969696969697,0.8696969696969697,0.8702611526278377,0.8692300945876216,1.0
0.000233,tanh,38,"(270, 150, 405, 265)",0.9121212121212121,0.9121212121212121,0.9128455014721449,0.9118777188031344,1.0
0.000669,tanh,38,"(270, 185, 20, 145)",0.9212121212121213,0.9212121212121213,0.9220119386786054,0.9211212818158264,1.0
0.000977,tanh,14,"(105, 460, 490, 455, 290)",0.906060606060606,0.9060606060606061,0.9071284775830231,0.9054986791565797,0.9975031210986267
0.000327,relu,24,"(225,)",0.9121212121212121,0.9121212121212121,0.9125577398216779,0.9120073950219539,1.0
0.000911,tanh,40,"(320, 130, 100, 195, 355)",0.9090909090909091,0.9090909090909091,0.9094898928232261,0.9088035234771592,1.0
0.000973,relu,50,"(410,)",0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,1.0
0.000259,relu,44,"(325,)",0.906060606060606,0.9060606060606059,0.9058095689674638,0.9056723941812862,1.0
0.000851,relu,66,"(235,)",0.9121212121212121,0.9121212121212121,0.9123132934511248,0.9120531111251394,1.0
0.000269,tanh,14,"(190, 85, 375, 30, 175)",0.9181818181818182,0.9181818181818183,0.9183048662584596,0.9179071000367033,1.0
0.000711,tanh,54,"(115,)",0.9121212121212121,0.9121212121212121,0.9124098665625734,0.9118075558793669,1.0
0.000477,relu,24,"(360, 470)",0.9242424242424242,0.9242424242424243,0.9250285705087965,0.9239916505087061,1.0
0.000405,tanh,44,"(480, 370, 160)",0.9212121212121213,0.9212121212121213,0.9220119386786054,0.9211212818158264,1.0
0.000457,relu,70,"(130, 160, 405, 345)",0.896969696969697,0.896969696969697,0.8966861598440546,0.8966797728265617,1.0
0.000349,relu,68,"(410, 295, 415)",0.896969696969697,0.8969696969696969,0.8968512911075309,0.8967482412025055,1.0
0.000853,relu,20,"(455, 430, 290)",0.8909090909090909,0.890909090909091,0.8910846140257905,0.8898756636234161,1.0
0.000603,tanh,44,"(395, 260, 435, 35)",0.9121212121212121,0.9121212121212121,0.9121353954687289,0.9116482713613779,1.0
0.000307,relu,24,"(355, 375)",0.9030303030303031,0.903030303030303,0.9032731088918672,0.9029886405880662,1.0
0.000165,tanh,42,"(55, 380)",0.896969696969697,0.896969696969697,0.8974346209258295,0.896613125712506,1.0
0.000125,relu,40,"(495, 350)",0.9121212121212121,0.9121212121212121,0.9122142459403735,0.9119334326081884,1.0
0.000753,tanh,40,"(180, 330, 400, 140)",0.9121212121212121,0.9121212121212121,0.9135607275000251,0.9118627614212625,1.0
0.000141,tanh,16,"(230,)",0.9272727272727272,0.9272727272727274,0.928315649867374,0.9273261103299975,1.0
0.000121,relu,42,"(360, 195)",0.9151515151515152,0.915151515151515,0.9161070248374373,0.9150422352176738,1.0
0.000645,tanh,56,"(250, 340, 140, 110, 485)",0.9090909090909091,0.9090909090909092,0.9095608637135705,0.9088706983169587,1.0
0.000865,tanh,60,"(55, 295, 410, 290)",0.9030303030303031,0.903030303030303,0.9026764944196136,0.9023252660301283,1.0
0.000437,relu,62,"(355, 445, 195, 330)",0.9030303030303031,0.903030303030303,0.903390700769228,0.9030435331543218,1.0
0.000197,relu,64,"(85, 340, 125, 465, 260)",0.8939393939393939,0.8939393939393939,0.8936574662942015,0.8937110211031528,1.0
