alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.0001,tanh,64,"(25,)",0.8696969696969697,0.8696969696969697,0.8707978889240974,0.8676133155264325,1.0
0.0001,tanh,64,"(25, 25)",0.8666666666666667,0.8666666666666667,0.8678706791898282,0.8644170597862711,1.0
0.0001,tanh,64,"(50,)",0.8606060606060606,0.8606060606060607,0.86052389927988,0.8583821666138739,1.0
0.0001,tanh,64,"(50, 50)",0.8636363636363636,0.8636363636363636,0.8654513245169531,0.8606154350402138,1.0
0.0001,tanh,64,"(100,)",0.8636363636363636,0.8636363636363636,0.8636708241623868,0.8612430120181971,1.0
0.0001,tanh,64,"(100, 100)",0.8636363636363636,0.8636363636363636,0.8636490610042501,0.8616876614612693,1.0
0.001,relu,16,"(25,)",0.8484848484848485,0.8484848484848485,0.8489654784805728,0.8459678890713374,1.0
0.001,relu,16,"(25, 25)",0.8606060606060606,0.8606060606060607,0.8608585858585859,0.8595645899993727,1.0
0.001,relu,16,"(50,)",0.8575757575757575,0.8575757575757575,0.8578843016434167,0.8554717446045653,1.0
0.001,relu,16,"(50, 50)",0.8606060606060606,0.8606060606060607,0.8604269293924466,0.8592012707056954,1.0
0.001,relu,16,"(100,)",0.8606060606060606,0.8606060606060607,0.8602104625634038,0.8593412238929835,1.0
0.001,relu,16,"(100, 100)",0.8666666666666667,0.8666666666666667,0.8660811161207653,0.8656373028410943,1.0
0.001,relu,32,"(25,)",0.8575757575757575,0.8575757575757575,0.8580194831662183,0.8553946087861847,1.0
0.001,relu,32,"(25, 25)",0.8757575757575757,0.8757575757575756,0.8756843909941255,0.8747562887978922,1.0
0.001,relu,32,"(50,)",0.8515151515151516,0.8515151515151516,0.8517799303267304,0.8492204962793197,1.0
0.001,relu,32,"(50, 50)",0.8727272727272727,0.8727272727272727,0.8729489559564213,0.8712595824378906,1.0
0.001,relu,32,"(100,)",0.8575757575757575,0.8575757575757575,0.857068282534121,0.8560076935627596,1.0
0.001,relu,32,"(100, 100)",0.8606060606060606,0.8606060606060607,0.8604628665922149,0.8589677091278922,1.0
0.001,relu,48,"(25,)",0.8575757575757575,0.8575757575757575,0.8580194831662183,0.8553946087861847,1.0
0.001,relu,48,"(25, 25)",0.8636363636363636,0.8636363636363636,0.8640716374269006,0.8619572755231261,1.0
